,Ext. Diam. (mm),Ext. Length (cm),Est. Vol. Fraction,Fluid Ca2+ (mM),Resuspension_encoded,Syringe Diam. (mm),Microgel Conc. (%),Microgel Size (mm),Speed (mm/sec),Complex_0,YS_breakdown_33,YStrain_breakdown_33,StabilityLabel
77,1.36,2.54,0.9,0.9,1,11.9,2.0,0.689,1.0,2384.3819575066204,362.9255,23.590899999999998,1
78,0.84,2.54,0.9,0.9,1,11.9,2.0,0.689,0.1,2384.3819575066204,362.9255,23.590899999999998,0
79,0.84,2.54,0.9,0.9,1,11.9,2.0,0.689,0.5,2384.3819575066204,362.9255,23.590899999999998,0
80,0.84,2.54,0.9,0.9,1,11.9,2.0,0.689,1.0,2384.3819575066204,362.9255,23.590899999999998,0
81,1.54,2.54,0.9,0.9,1,11.9,2.0,0.689,0.1,2384.3819575066204,362.9255,23.590899999999998,0
82,1.54,2.54,0.9,0.9,1,11.9,2.0,0.689,0.5,2384.3819575066204,362.9255,23.590899999999998,1
83,1.54,2.54,0.9,0.9,1,11.9,2.0,0.689,1.0,2384.3819575066204,362.9255,23.590899999999998,1
84,1.36,2.54,0.65,3.0,1,11.9,0.5,0.25,1.0,2058.473262763112,50.99385000000001,3.8282499999999997,0
85,0.84,2.54,0.65,3.0,1,11.9,0.5,0.25,1.0,2058.473262763112,50.99385000000001,3.8282499999999997,0
86,1.65,0.0,0.65,3.0,1,11.9,0.5,0.25,1.0,2058.473262763112,50.99385000000001,3.8282499999999997,0
87,1.54,2.54,0.65,3.0,1,11.9,0.5,0.25,1.0,2058.473262763112,50.99385000000001,3.8282499999999997,0
88,1.65,0.0,0.65,0.9,2,14.4,2.0,0.689,1.0,122.3428667880134,3.215385,3.875845,1
89,1.65,0.0,0.75,0.9,2,14.4,2.0,0.689,1.0,215.1835483210777,9.62691,6.49666,1
90,1.65,0.0,0.85,0.9,2,14.4,2.0,0.689,1.0,282.18100048188865,24.170749999999998,12.72365,1
