,Precursor Conc. (wt. %),Rel. Precursor Viscosity,Detach. Pressure (PSI),Crosslinker Conc. (mM),Dist. from Bath (cm),Surface Tension (mN/m),Shape Outcome
349,2.0,1,6,10,140,72.01,3
350,2.0,1,6,10,140,72.01,3
351,2.0,1,6,10,140,72.01,3
352,2.0,1,6,10,140,72.01,3
353,2.0,1,6,10,140,72.01,3
354,2.0,1,6,10,140,72.01,3
355,2.0,1,6,10,140,72.01,3
356,2.0,1,6,10,140,72.01,3
357,2.0,1,6,10,140,72.01,3
358,2.0,1,6,10,140,72.01,3
359,2.0,1,6,10,140,72.01,3
360,2.0,1,6,10,140,72.01,3
361,2.0,1,6,10,140,72.01,3
362,2.0,1,6,10,140,72.01,3
363,2.0,1,6,10,140,72.01,2
364,2.0,1,6,10,140,72.01,2
365,2.0,1,6,10,140,72.01,2
366,2.0,1,6,10,140,72.01,2
367,2.0,1,6,10,140,72.01,2
368,2.0,1,40,10,140,72.01,2
369,2.0,1,40,10,140,72.01,2
370,2.0,1,40,10,140,72.01,2
371,2.0,1,40,10,140,72.01,2
372,2.0,1,40,10,140,72.01,2
373,2.0,1,40,10,140,72.01,2
374,2.0,1,40,10,140,72.01,2
375,2.0,1,40,10,140,72.01,2
376,2.0,1,40,10,140,72.01,2
377,2.0,1,40,10,140,72.01,2
378,2.0,1,40,10,140,72.01,2
379,2.0,1,40,10,140,72.01,2
380,2.0,1,40,10,140,72.01,2
381,2.0,1,40,10,140,72.01,2
382,2.0,1,40,10,140,72.01,2
383,2.0,1,40,10,140,72.01,2
384,2.0,1,40,10,140,72.01,2
385,2.0,1,40,10,140,72.01,2
386,2.0,1,40,10,140,72.01,2
387,2.0,1,40,10,140,72.01,2
388,2.0,1,40,10,140,72.01,2
389,2.0,1,40,10,140,72.01,2
390,2.0,1,40,10,140,72.01,2
391,2.0,1,40,10,140,72.01,2
392,2.0,1,40,10,140,72.01,2
393,2.0,1,40,10,140,72.01,2
394,2.0,1,40,10,140,72.01,2
395,2.0,1,40,10,140,72.01,2
396,2.0,1,40,10,140,72.01,2
397,2.0,1,40,10,140,72.01,2
398,2.0,1,40,10,140,72.01,2
399,2.0,1,40,10,140,72.01,2
400,2.0,1,40,10,140,72.01,1
401,2.0,1,40,10,140,72.01,1
402,2.0,1,40,10,140,72.01,1
403,2.0,1,40,10,140,72.01,1
404,2.0,1,40,10,140,72.01,1
405,2.0,1,40,10,140,72.01,1
406,2.0,1,40,10,140,72.01,1
407,2.0,1,40,10,140,72.01,1
408,2.0,1,40,10,140,72.01,1
409,2.0,1,40,10,140,72.01,1
410,2.0,1,40,10,140,72.01,1
411,2.0,1,40,10,140,72.01,1
412,2.0,1,40,10,140,72.01,1
413,2.0,1,40,10,140,72.01,1
414,2.0,1,40,10,140,72.01,1
415,2.0,1,40,10,140,72.01,1
416,2.0,1,40,10,140,72.01,1
417,2.0,1,40,10,140,72.01,1
418,2.0,1,40,10,140,72.01,1
419,2.0,1,40,10,140,72.01,1
420,2.0,1,40,10,140,72.01,1
421,2.0,1,40,10,140,72.01,1
422,2.0,1,40,10,140,72.01,1
423,2.0,1,40,10,140,72.01,1
424,2.0,1,40,10,140,72.01,1
425,2.0,1,40,10,140,72.01,1
426,2.0,1,40,10,140,72.01,1
427,2.0,1,40,10,140,72.01,1
