,Displacement (mm),Ext. Diam. (mm),Ext. Length (cm),Est. Vol. Fraction,Fluid Ca2+ (mM),Resuspension_encoded,Syringe Diam. (mm),Microgel Conc. (%),Microgel Size (mm),Speed (mm/sec),Complex_0,YS_breakdown_33,YStrain_breakdown_33,Viscosity_0.1/s,Force (N)
51,16.803,1.65,0.0,0.9,0.9,1,11.9,0.25,0.506,1.0,6.141030103192575,0.5503065,13.73015,13.21805,3.9915
52,18.0628,1.65,0.0,0.9,0.9,1,11.9,0.25,0.506,1.0,6.141030103192575,0.5503065,13.73015,13.21805,3.8671
53,19.3226,1.65,0.0,0.9,0.9,1,11.9,0.25,0.506,1.0,6.141030103192575,0.5503065,13.73015,13.21805,3.5023
54,20.5829,1.65,0.0,0.9,0.9,1,11.9,0.25,0.506,1.0,6.141030103192575,0.5503065,13.73015,13.21805,3.6611
55,21.843,1.65,0.0,0.9,0.9,1,11.9,0.25,0.506,1.0,6.141030103192575,0.5503065,13.73015,13.21805,3.7435
56,23.1028,1.65,0.0,0.9,0.9,1,11.9,0.25,0.506,1.0,6.141030103192575,0.5503065,13.73015,13.21805,3.7629
57,24.3627,1.65,0.0,0.9,0.9,1,11.9,0.25,0.506,1.0,6.141030103192575,0.5503065,13.73015,13.21805,3.8212
58,25.623,1.65,0.0,0.9,0.9,1,11.9,0.25,0.506,1.0,6.141030103192575,0.5503065,13.73015,13.21805,3.8696
59,26.8829,1.65,0.0,0.9,0.9,1,11.9,0.25,0.506,1.0,6.141030103192575,0.5503065,13.73015,13.21805,3.9802
60,28.1426,1.65,0.0,0.9,0.9,1,11.9,0.25,0.506,1.0,6.141030103192575,0.5503065,13.73015,13.21805,4.0573
61,29.403,1.65,0.0,0.9,0.9,1,11.9,0.25,0.506,1.0,6.141030103192575,0.5503065,13.73015,13.21805,4.1004
62,30.663,1.65,0.0,0.9,0.9,1,11.9,0.25,0.506,1.0,6.141030103192575,0.5503065,13.73015,13.21805,4.1042
63,31.9228,1.65,0.0,0.9,0.9,1,11.9,0.25,0.506,1.0,6.141030103192575,0.5503065,13.73015,13.21805,4.1025
64,33.1825,1.65,0.0,0.9,0.9,1,11.9,0.25,0.506,1.0,6.141030103192575,0.5503065,13.73015,13.21805,4.0598
65,34.4431,1.65,0.0,0.9,0.9,1,11.9,0.25,0.506,1.0,6.141030103192575,0.5503065,13.73015,13.21805,3.9747
66,35.7029,1.65,0.0,0.9,0.9,1,11.9,0.25,0.506,1.0,6.141030103192575,0.5503065,13.73015,13.21805,3.8517
67,36.9627,1.65,0.0,0.9,0.9,1,11.9,0.25,0.506,1.0,6.141030103192575,0.5503065,13.73015,13.21805,3.6826
68,38.2228,1.65,0.0,0.9,0.9,1,11.9,0.25,0.506,1.0,6.141030103192575,0.5503065,13.73015,13.21805,3.4084000000000003
69,39.483,1.65,0.0,0.9,0.9,1,11.9,0.25,0.506,1.0,6.141030103192575,0.5503065,13.73015,13.21805,3.0838
70,0.0,1.65,0.0,0.9,0.9,1,11.9,0.5,0.605,0.1,94.63626484879813,6.15682,10.118285,118.96199999999999,0.0
71,0.4122,1.65,0.0,0.9,0.9,1,11.9,0.5,0.605,0.1,94.63626484879813,6.15682,10.118285,118.96199999999999,1.4093
72,0.8322,1.65,0.0,0.9,0.9,1,11.9,0.5,0.605,0.1,94.63626484879813,6.15682,10.118285,118.96199999999999,1.6317
73,1.2521,1.65,0.0,0.9,0.9,1,11.9,0.5,0.605,0.1,94.63626484879813,6.15682,10.118285,118.96199999999999,1.8122
74,1.6722,1.65,0.0,0.9,0.9,1,11.9,0.5,0.605,0.1,94.63626484879813,6.15682,10.118285,118.96199999999999,1.9515
75,2.9322,1.65,0.0,0.9,0.9,1,11.9,0.5,0.605,0.1,94.63626484879813,6.15682,10.118285,118.96199999999999,2.2465
76,4.1923,1.65,0.0,0.9,0.9,1,11.9,0.5,0.605,0.1,94.63626484879813,6.15682,10.118285,118.96199999999999,2.4179
77,5.452,1.65,0.0,0.9,0.9,1,11.9,0.5,0.605,0.1,94.63626484879813,6.15682,10.118285,118.96199999999999,2.5295
78,6.7122,1.65,0.0,0.9,0.9,1,11.9,0.5,0.605,0.1,94.63626484879813,6.15682,10.118285,118.96199999999999,2.5795
79,7.9724,1.65,0.0,0.9,0.9,1,11.9,0.5,0.605,0.1,94.63626484879813,6.15682,10.118285,118.96199999999999,2.601
80,9.2323,1.65,0.0,0.9,0.9,1,11.9,0.5,0.605,0.1,94.63626484879813,6.15682,10.118285,118.96199999999999,2.5731
81,10.4921,1.65,0.0,0.9,0.9,1,11.9,0.5,0.605,0.1,94.63626484879813,6.15682,10.118285,118.96199999999999,2.5368
82,11.7521,1.65,0.0,0.9,0.9,1,11.9,0.5,0.605,0.1,94.63626484879813,6.15682,10.118285,118.96199999999999,2.5208
83,13.0123,1.65,0.0,0.9,0.9,1,11.9,0.5,0.605,0.1,94.63626484879813,6.15682,10.118285,118.96199999999999,2.4899
84,14.2722,1.65,0.0,0.9,0.9,1,11.9,0.5,0.605,0.1,94.63626484879813,6.15682,10.118285,118.96199999999999,2.4623
85,15.5323,1.65,0.0,0.9,0.9,1,11.9,0.5,0.605,0.1,94.63626484879813,6.15682,10.118285,118.96199999999999,2.4173
86,16.7922,1.65,0.0,0.9,0.9,1,11.9,0.5,0.605,0.1,94.63626484879813,6.15682,10.118285,118.96199999999999,2.3924
87,18.0524,1.65,0.0,0.9,0.9,1,11.9,0.5,0.605,0.1,94.63626484879813,6.15682,10.118285,118.96199999999999,2.36
88,19.3122,1.65,0.0,0.9,0.9,1,11.9,0.5,0.605,0.1,94.63626484879813,6.15682,10.118285,118.96199999999999,2.3405
89,20.5721,1.65,0.0,0.9,0.9,1,11.9,0.5,0.605,0.1,94.63626484879813,6.15682,10.118285,118.96199999999999,2.3286
90,21.8322,1.65,0.0,0.9,0.9,1,11.9,0.5,0.605,0.1,94.63626484879813,6.15682,10.118285,118.96199999999999,2.3067
91,23.0922,1.65,0.0,0.9,0.9,1,11.9,0.5,0.605,0.1,94.63626484879813,6.15682,10.118285,118.96199999999999,2.3091
92,24.3522,1.65,0.0,0.9,0.9,1,11.9,0.5,0.605,0.1,94.63626484879813,6.15682,10.118285,118.96199999999999,2.298
93,25.6121,1.65,0.0,0.9,0.9,1,11.9,0.5,0.605,0.1,94.63626484879813,6.15682,10.118285,118.96199999999999,2.2659
94,26.8722,1.65,0.0,0.9,0.9,1,11.9,0.5,0.605,0.1,94.63626484879813,6.15682,10.118285,118.96199999999999,2.2409
95,28.1321,1.65,0.0,0.9,0.9,1,11.9,0.5,0.605,0.1,94.63626484879813,6.15682,10.118285,118.96199999999999,2.2388
96,29.3923,1.65,0.0,0.9,0.9,1,11.9,0.5,0.605,0.1,94.63626484879813,6.15682,10.118285,118.96199999999999,2.2335
97,30.6523,1.65,0.0,0.9,0.9,1,11.9,0.5,0.605,0.1,94.63626484879813,6.15682,10.118285,118.96199999999999,2.2009
98,31.9123,1.65,0.0,0.9,0.9,1,11.9,0.5,0.605,0.1,94.63626484879813,6.15682,10.118285,118.96199999999999,2.1706
99,33.1722,1.65,0.0,0.9,0.9,1,11.9,0.5,0.605,0.1,94.63626484879813,6.15682,10.118285,118.96199999999999,2.1563
100,34.4321,1.65,0.0,0.9,0.9,1,11.9,0.5,0.605,0.1,94.63626484879813,6.15682,10.118285,118.96199999999999,2.1199
101,35.6923,1.65,0.0,0.9,0.9,1,11.9,0.5,0.605,0.1,94.63626484879813,6.15682,10.118285,118.96199999999999,2.0629
102,36.9522,1.65,0.0,0.9,0.9,1,11.9,0.5,0.605,0.1,94.63626484879813,6.15682,10.118285,118.96199999999999,2.0508
103,38.2122,1.65,0.0,0.9,0.9,1,11.9,0.5,0.605,0.1,94.63626484879813,6.15682,10.118285,118.96199999999999,2.0676
104,39.4723,1.65,0.0,0.9,0.9,1,11.9,0.5,0.605,0.1,94.63626484879813,6.15682,10.118285,118.96199999999999,2.0176000000000003
105,0.0055,1.65,0.0,0.9,0.9,1,11.9,0.5,0.605,1.0,94.63626484879813,6.15682,10.118285,118.96199999999999,0.3411999999999999
106,0.4199,1.65,0.0,0.9,0.9,1,11.9,0.5,0.605,1.0,94.63626484879813,6.15682,10.118285,118.96199999999999,3.5107
107,0.8402,1.65,0.0,0.9,0.9,1,11.9,0.5,0.605,1.0,94.63626484879813,6.15682,10.118285,118.96199999999999,3.3809
108,1.2604,1.65,0.0,0.9,0.9,1,11.9,0.5,0.605,1.0,94.63626484879813,6.15682,10.118285,118.96199999999999,3.4095
109,1.68,1.65,0.0,0.9,0.9,1,11.9,0.5,0.605,1.0,94.63626484879813,6.15682,10.118285,118.96199999999999,3.525
110,2.9403,1.65,0.0,0.9,0.9,1,11.9,0.5,0.605,1.0,94.63626484879813,6.15682,10.118285,118.96199999999999,3.8493
111,4.2001,1.65,0.0,0.9,0.9,1,11.9,0.5,0.605,1.0,94.63626484879813,6.15682,10.118285,118.96199999999999,4.1557
112,5.4598,1.65,0.0,0.9,0.9,1,11.9,0.5,0.605,1.0,94.63626484879813,6.15682,10.118285,118.96199999999999,4.3364
113,6.7202,1.65,0.0,0.9,0.9,1,11.9,0.5,0.605,1.0,94.63626484879813,6.15682,10.118285,118.96199999999999,4.5102
114,7.9804,1.65,0.0,0.9,0.9,1,11.9,0.5,0.605,1.0,94.63626484879813,6.15682,10.118285,118.96199999999999,4.6555
115,9.2398,1.65,0.0,0.9,0.9,1,11.9,0.5,0.605,1.0,94.63626484879813,6.15682,10.118285,118.96199999999999,4.7153
116,10.5001,1.65,0.0,0.9,0.9,1,11.9,0.5,0.605,1.0,94.63626484879813,6.15682,10.118285,118.96199999999999,4.7621
117,11.7603,1.65,0.0,0.9,0.9,1,11.9,0.5,0.605,1.0,94.63626484879813,6.15682,10.118285,118.96199999999999,4.7849
118,13.0202,1.65,0.0,0.9,0.9,1,11.9,0.5,0.605,1.0,94.63626484879813,6.15682,10.118285,118.96199999999999,4.9999
119,14.2799,1.65,0.0,0.9,0.9,1,11.9,0.5,0.605,1.0,94.63626484879813,6.15682,10.118285,118.96199999999999,4.9819
120,15.5402,1.65,0.0,0.9,0.9,1,11.9,0.5,0.605,1.0,94.63626484879813,6.15682,10.118285,118.96199999999999,4.9052
121,16.8003,1.65,0.0,0.9,0.9,1,11.9,0.5,0.605,1.0,94.63626484879813,6.15682,10.118285,118.96199999999999,4.8392
122,18.0601,1.65,0.0,0.9,0.9,1,11.9,0.5,0.605,1.0,94.63626484879813,6.15682,10.118285,118.96199999999999,4.7413
123,19.3199,1.65,0.0,0.9,0.9,1,11.9,0.5,0.605,1.0,94.63626484879813,6.15682,10.118285,118.96199999999999,4.6055
124,20.5803,1.65,0.0,0.9,0.9,1,11.9,0.5,0.605,1.0,94.63626484879813,6.15682,10.118285,118.96199999999999,4.437
125,21.8403,1.65,0.0,0.9,0.9,1,11.9,0.5,0.605,1.0,94.63626484879813,6.15682,10.118285,118.96199999999999,4.3295
126,23.0998,1.65,0.0,0.9,0.9,1,11.9,0.5,0.605,1.0,94.63626484879813,6.15682,10.118285,118.96199999999999,4.2075
127,24.3602,1.65,0.0,0.9,0.9,1,11.9,0.5,0.605,1.0,94.63626484879813,6.15682,10.118285,118.96199999999999,4.021
128,25.6203,1.65,0.0,0.9,0.9,1,11.9,0.5,0.605,1.0,94.63626484879813,6.15682,10.118285,118.96199999999999,3.9011
129,26.8801,1.65,0.0,0.9,0.9,1,11.9,0.5,0.605,1.0,94.63626484879813,6.15682,10.118285,118.96199999999999,3.8208
130,28.1397,1.65,0.0,0.9,0.9,1,11.9,0.5,0.605,1.0,94.63626484879813,6.15682,10.118285,118.96199999999999,3.7076
131,29.4003,1.65,0.0,0.9,0.9,1,11.9,0.5,0.605,1.0,94.63626484879813,6.15682,10.118285,118.96199999999999,3.7608
132,30.6601,1.65,0.0,0.9,0.9,1,11.9,0.5,0.605,1.0,94.63626484879813,6.15682,10.118285,118.96199999999999,3.7205
