,Microgel Conc. (wt.%),Fluid Ca2+ (mM),Fluid Na+ (mM),Settled Solid Vol. (mL),Settled Total Vol. (mL),Jam Pressure (PSI),Membrane Pore Size (um),Jam Duration (min),Est. Vol. Fraction
129,2.0,2.0,0,16.75,33.25,0.5,11,45,0.958815473
130,2.0,2.0,0,16.75,33.25,0.5,11,60,0.968790265
131,2.0,2.0,0,16.75,33.25,0.5,11,75,0.97055027
132,2.0,2.0,0,16.75,33.25,0.5,11,90,0.978974779
133,0.5,0.9,153,26.5,39.75,0.0,11,0,0.4
134,0.5,0.9,153,26.5,39.75,0.0,11,30,0.647527268
135,0.5,0.9,153,26.5,39.75,0.0,11,60,0.780377579
136,0.5,0.9,153,26.5,39.75,0.0,11,75,0.803251219
137,0.5,0.9,153,26.5,39.75,0.0,11,90,0.817106368
138,0.5,0.9,153,26.5,39.75,0.0,11,105,0.828915787
139,0.5,0.9,153,26.5,39.75,0.0,11,120,0.835688081
140,0.5,0.9,153,26.5,39.75,0.0,11,135,0.842395153
141,0.5,0.9,153,26.5,39.75,0.0,11,160,0.850109844
142,0.5,0.9,153,26.5,39.75,0.0,11,190,0.85268272
143,0.5,0.9,153,26.5,39.75,0.0,11,210,0.854998003
144,2.0,0.9,153,23.5,35.0,0.0,11,0,0.402914132
145,2.0,0.9,153,23.5,35.0,0.0,11,5,0.816196699
146,2.0,0.9,153,23.5,35.0,0.0,11,10,0.82897724
147,2.0,0.9,153,23.5,35.0,0.0,11,15,0.84037531
148,2.0,0.9,153,23.5,35.0,0.0,11,30,0.862881726
149,2.0,0.9,153,23.5,35.0,0.0,11,60,0.89201378
150,2.0,0.9,153,28.0,40.0,0.0,11,0,0.42
151,2.0,0.9,153,28.0,40.0,0.0,11,5,0.765531243
152,2.0,0.9,153,28.0,40.0,0.0,11,10,0.81734104
153,2.0,0.9,153,28.0,40.0,0.0,11,15,0.84501992
154,2.0,0.9,153,28.0,40.0,0.0,11,30,0.856969697
155,2.0,0.9,153,28.0,40.0,0.0,11,60,0.867928389
156,2.0,0.9,153,55.5,77.0,0.0,11,0,0.432467532
157,2.0,0.9,153,55.5,77.0,0.0,11,5,0.700322749
158,2.0,0.9,153,55.5,77.0,0.0,11,10,0.730580415
159,2.0,0.9,153,55.5,77.0,0.0,11,30,0.739414325
160,2.0,0.9,153,55.5,77.0,0.0,11,35,0.748314607
161,2.0,0.9,153,55.5,77.0,0.0,11,40,0.751693002
162,2.0,0.9,153,55.5,77.0,0.0,11,45,0.782035483
163,2.0,0.9,153,55.5,77.0,0.0,11,50,0.823692202
164,2.0,0.9,153,55.5,77.0,0.0,11,55,0.84490165
165,2.0,0.9,153,55.5,77.0,0.0,11,60,0.861456893
166,2.0,0.9,153,55.5,77.0,0.0,11,65,0.871705155
167,2.0,0.9,153,55.5,77.0,0.0,11,70,0.875973434
168,2.0,0.9,153,55.5,77.0,0.0,11,75,0.888023446
169,2.0,0.9,153,55.5,77.0,0.0,11,80,0.896282478
170,1.0,0.9,153,54.0,71.0,0.0,11,0,0.456338028
171,1.0,0.9,153,54.0,71.0,0.0,11,5,0.814333707
172,1.0,0.9,153,54.0,71.0,0.0,11,15,0.87052752
173,1.0,0.9,153,54.0,71.0,0.0,11,20,0.888707838
174,1.0,0.9,153,54.0,71.0,0.0,11,30,0.89610603
175,0.5,0.9,153,45.0,57.0,0.0,11,0,0.473717125
176,0.5,0.9,153,45.0,57.0,0.0,11,10,0.672171555
177,0.5,0.9,153,45.0,57.0,0.0,11,20,0.709472644
178,0.5,0.9,153,45.0,57.0,0.0,11,30,0.733222198
179,0.5,0.9,153,45.0,57.0,0.0,11,40,0.741173593
180,0.5,0.9,153,45.0,57.0,0.0,11,50,0.744980194
181,0.5,0.9,153,45.0,57.0,0.0,11,30,0.836195266
182,0.5,0.9,153,45.0,57.0,0.0,11,50,0.860225229
183,0.5,0.9,153,45.0,57.0,0.0,11,60,0.868720334
184,0.5,0.9,153,45.0,57.0,0.0,11,70,0.874094493
185,0.5,0.9,153,45.0,57.0,0.0,11,80,0.877271996
186,0.5,0.9,153,45.0,57.0,0.0,11,90,0.881468791
187,0.5,0.9,153,45.0,57.0,0.0,11,100,0.892810372
188,0.25,0.9,153,36.5,45.0,0.0,11,0,0.486666667
189,0.25,0.9,153,36.5,45.0,0.0,11,30,0.601828422
190,0.25,0.9,153,36.5,45.0,0.0,11,60,0.626068497
191,0.25,0.9,153,36.5,45.0,0.0,11,75,0.63065606
192,0.25,0.9,153,36.5,45.0,0.0,11,90,0.757136989
193,0.25,0.9,153,36.5,45.0,0.0,11,120,0.797368421
194,0.25,0.9,153,36.5,45.0,0.0,11,150,0.889885742
195,0.25,0.9,153,36.5,45.0,0.0,11,180,0.898379432
