,Num_days_in_solvent,Current_solvent,Curr_solv_Ca_conc,Curr_solv_Na_conc,ALG_conc,ALG_MW,Gelation_CaCl2_conc,Air_pressure,Nozzle_diameter,Nozzle_angle,Dist_nozzle_bath,Dist_pressure_nozzle,Angle_pressure_nozzle,EtOH_conc_pct,Extrusion_flow_rate,Tip_coating,Unique ID,Diameter_um,Un_id_updated,Un_id_prev
76,0,CACL2,10,0,2,MEDIUM,10,40,0.15,45,140,30,0,0,200,NONE,4,244.3924653,4,2
77,0,CACL2,10,0,2,MEDIUM,10,40,0.15,45,140,30,0,0,200,NONE,4,223.4583814,4,2
78,0,CACL2,10,0,2,MEDIUM,10,40,0.15,45,140,30,0,0,200,NONE,4,281.6476474,4,2
79,0,CACL2,10,0,2,MEDIUM,10,40,0.15,45,140,30,0,0,200,NONE,4,260.8608205,4,2
80,0,CACL2,10,0,2,MEDIUM,10,40,0.15,45,140,30,0,0,200,NONE,4,265.0622318,4,2
81,0,CACL2,10,0,2,MEDIUM,10,40,0.15,45,140,30,0,0,200,NONE,4,288.1481836,4,2
82,0,CACL2,10,0,2,MEDIUM,10,40,0.15,45,140,30,0,0,200,NONE,4,256.4945182,4,2
83,0,CACL2,10,0,2,MEDIUM,10,40,0.15,45,140,30,0,0,200,NONE,4,271.9478329,4,2
84,0,CACL2,10,0,2,MEDIUM,10,40,0.15,45,140,30,0,0,200,NONE,4,283.8590552,4,2
85,0,CACL2,10,0,2,MEDIUM,10,40,0.15,45,140,30,0,0,200,NONE,4,249.3173141,4,2
86,0,CACL2,10,0,2,MEDIUM,10,40,0.15,45,140,30,0,0,200,NONE,4,323.4108121,4,2
87,0,CACL2,10,0,2,MEDIUM,10,40,0.15,45,140,30,0,0,200,NONE,4,274.4509082,4,2
88,0,CACL2,10,0,2,MEDIUM,10,40,0.15,45,140,30,0,0,200,NONE,4,287.0539786,4,2
89,0,CACL2,10,0,2,MEDIUM,10,40,0.15,45,140,30,0,0,200,NONE,4,288.9041439,4,2
90,0,CACL2,10,0,2,MEDIUM,10,40,0.15,45,140,30,0,0,200,NONE,4,264.6393857,4,2
91,0,CACL2,10,0,2,MEDIUM,10,40,0.15,45,140,30,0,0,200,NONE,4,295.1432213,4,2
92,0,CACL2,10,0,2,MEDIUM,10,40,0.15,45,140,30,0,0,200,NONE,4,265.1565011,4,2
93,0,CACL2,10,0,2,MEDIUM,10,40,0.15,45,140,30,0,0,200,NONE,4,227.1269516,4,2
94,0,CACL2,10,0,2,MEDIUM,10,40,0.15,45,140,30,0,0,200,NONE,4,278.8528083,4,2
95,0,CACL2,10,0,2,MEDIUM,10,40,0.15,45,140,30,0,0,200,NONE,4,249.7881827,4,2
96,0,CACL2,10,0,2,MEDIUM,10,40,0.15,45,140,30,0,0,200,NONE,4,253.6412705,4,2
97,0,CACL2,10,0,2,MEDIUM,10,40,0.15,45,140,30,0,0,200,NONE,4,233.389588,4,2
98,0,CACL2,10,0,2,MEDIUM,10,40,0.15,45,140,30,0,0,200,NONE,4,276.4231158,4,2
